"BASKETID","BASKETTYPE","DIRECTION","LOCATION_DESCRIPTION","OWNERTYPE","SECTION","STATEPLANE_LABELX","STATEPLANE_LABELY","STATEPLANE_SNAPPEDX","STATEPLANE_SNAPPEDY","STREETNAME1","STREETNAME2","OBJECTID","point"
"11030077","S","SE","SE corner of ADAM CLAYTON POWELL JR BOULEVARD and W 130 ST","D","MN103","999,238.6379898","235,087.17324805","999,227.17771089","235,122.13807313","ADAM CLAYTON POWELL JR BOULEVARD","W 130 ST","2731","POINT (-73.9458532897 40.8119230159)"
"40840020","S","NW","NW corner of 164 ST and JEWEL AV","D","QE084","1,038,136.12646765","205,980.71899389","1,038,228.78934006","205,955.68033005","164 ST","JEWEL AV","11542","POINT (-73.8055691298 40.7318819783)"
"20110123","R","W","W corner of 3 AV and E 152 ST","D","BX011","1,007,617.74426307","237,229.55610238","1,007,660.2218684","237,233.29526813","3 AV","E 152 ST","7157","POINT (-73.9155761818 40.8177850655)"
"30620051","H","SE","SE corner of ATLANTIC AV and HENRY ST","B","BKS062","985,317.05559681","190,858.46971089","985,296.25905047","190,909.0814863","ATLANTIC AV","HENRY ST","12103","POINT (-73.9961522612 40.6905390794)"
"20210064","S","SE","SE corner of PROSPECT AV and E 164 ST","D","BX021","1,011,973.22275682","239,207.01966713","1,011,939.01908506","239,279.54117563","PROSPECT AV","E 164 ST","6801","POINT (-73.8998323972 40.8232000463)"
"30920026","R","NW","NW corner of NOSTRAND AV and LINCOLN RD","D","BKN092","997,851.79135406","180,360.00317505","997,895.39264481","180,327.42482813","NOSTRAND AV","LINCOLN RD","22017","POINT (-73.9509739452 40.6617127734)"
"30410100","R","E","E corner of BROADWAY and WILLOUGHBY AV","D","BKN041","1,002,875.98898281","192,789.0167028","1,002,823.97202648","192,788.67287147","BROADWAY","WILLOUGHBY AV","22529","POINT (-73.932830471 40.6958184477)"
"40610056","S","SW","SW corner of YELLOWSTONE BLVD and 64 RD","D","QW061","1,025,371.39937247","205,774.10457772","1,025,392.71625897","205,832.24291289","YELLOWSTONE BLVD","64 RD","13022","POINT (-73.85162773 40.7313834285)"
"10920122","S","SW","SW corner of BROADWAY and W 137 ST","D","MN092","996,847.25300881","238,533.81727338","996,889.86611256","238,540.50065896","BROADWAY","W 137 ST","3511","POINT (-73.9544857376 40.8213868195)"
"30210217","C","SW","SW corner of JOHNSON ST and ADAMS ST","B","BKN021","987,242.40082748","192,433.8658383","987,276.38501148","192,469.69352254","JOHNSON ST","ADAMS ST","17173","POINT (-73.9892088815 40.6948627361)"
"10910099","S","NW","NW corner of CLAREMONT AV and W 119 ST","D","MN091","994,339.98440132","234,590.47017321","994,352.0890359","234,548.41218646","CLAREMONT AV","W 119 ST","4084","POINT (-73.9635505034 40.8105666571)"
"40130009","S","NE","NE corner of ASTORIA BLVD and 22 ST","D","QW013","1,005,065.00724256","220,569.20031555","1,005,010.1976409","220,549.01761313","ASTORIA BLVD","22 ST","15962","POINT (-73.924850434 40.7720633034)"
"20720085","C","NW","NW corner of E FORDHAM RD and MARION AV","B","BX072","1,013,878.22288381","253,334.99272347","1,013,890.13427731","253,317.71191813","E FORDHAM RD","MARION AV","23573","POINT (-73.8928869723 40.8619709877)"
"30640043","S","S","S corner of 5 AV and CARROLL ST","D","BKS064","989,449.88985081","185,180.9984543","989,445.03224897","185,222.39863397","5 AV","CARROLL ST","17740","POINT (-73.9812538892 40.6749542509)"
"10310160","R","SE","SE corner of ESSEX ST and GRAND ST","D","MN031","987,290.70584898","200,323.02886571","987,270.67636147","200,344.25159229","ESSEX ST","GRAND ST","21436","POINT (-73.9890311227 40.7165166124)"
