unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,intersection_street_1,intersection_street_2,address_type,city,facility_type,status,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane_,y_coordinate_state_plane_,park_facility_name,park_borough,latitude,longitude,location,incident_address,street_name,cross_street_1,cross_street_2,landmark
45397257,2020-01-15T21:48:00.000,2020-01-17T00:00:00.000,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,10003,,,ADDRESS,NEW YORK,,Closed,2020-01-17T00:00:00.000,03 MANHATTAN,MANHATTAN,987570,203911,Unspecified,MANHATTAN,40.726364666006816,-73.98802184234937,"{'type': 'Point', 'coordinates': [-73.98802184234937, 40.726364666006816]}",336 EAST    5 STREET,EAST    5 STREET,2 AVENUE,1 AVENUE,
45399268,2020-01-15T21:46:00.000,2020-01-22T00:00:00.000,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,11204,,,ADDRESS,BROOKLYN,,Closed,2020-01-22T00:00:00.000,12 BROOKLYN,BROOKLYN,989854,164255,Unspecified,BROOKLYN,40.61751670076847,-73.97981441683382,"{'type': 'Point', 'coordinates': [-73.97981441683382, 40.61751670076847]}",2134 60 STREET,60 STREET,21 AVENUE,BAY PARKWAY,
45398211,2020-01-15T21:44:00.000,2020-01-18T00:00:00.000,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,11249,,,ADDRESS,BROOKLYN,,Closed,2020-01-18T00:00:00.000,01 BROOKLYN,BROOKLYN,994031,197812,Unspecified,BROOKLYN,40.70961959251151,-73.96472020134026,"{'type': 'Point', 'coordinates': [-73.96472020134026, 40.70961959251151]}",109 SOUTH    8 STREET,SOUTH    8 STREET,BERRY STREET,BEDFORD AVENUE,
45395199,2020-01-15T21:43:00.000,2020-01-17T00:00:00.000,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,11233,,,ADDRESS,BROOKLYN,,Closed,2020-01-17T00:00:00.000,16 BROOKLYN,BROOKLYN,1008254,185753,Unspecified,BROOKLYN,40.676493288143,-73.91346122493971,"{'type': 'Point', 'coordinates': [-73.91346122493971, 40.676493288143]}",2043 ATLANTIC AVENUE,ATLANTIC AVENUE,THOMAS S BOYLAND STREET,MARCONI PLACE,
45395202,2020-01-15T21:41:00.000,2020-01-18T00:00:00.000,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,11210,,,ADDRESS,BROOKLYN,,Closed,2020-01-18T00:00:00.000,17 BROOKLYN,BROOKLYN,1000104,170076,Unspecified,BROOKLYN,40.63348170927404,-73.94288029720387,"{'type': 'Point', 'coordinates': [-73.94288029720387, 40.63348170927404]}",867 EAST   35 STREET,EAST   35 STREET,GLENWOOD ROAD,AVENUE H,
45398212,2020-01-15T21:39:00.000,2020-01-18T00:00:00.000,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,11204,,,ADDRESS,BROOKLYN,,Closed,2020-01-18T00:00:00.000,12 BROOKLYN,BROOKLYN,989854,164255,Unspecified,BROOKLYN,40.61751670076847,-73.97981441683382,"{'type': 'Point', 'coordinates': [-73.97981441683382, 40.61751670076847]}",2134 60 STREET,60 STREET,21 AVENUE,BAY PARKWAY,
45392177,2020-01-15T21:38:00.000,2020-01-17T00:00:00.000,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,11417,,,ADDRESS,Ozone Park,,Closed,2020-01-17T00:00:00.000,10 QUEENS,QUEENS,1029437,185791,Unspecified,QUEENS,40.67651480467736,-73.83709254673025,"{'type': 'Point', 'coordinates': [-73.83709254673025, 40.67651480467736]}",133-16 PECONIC STREET,PECONIC STREET,101 STREET,BOSS STREET,
45398249,2020-01-15T21:35:00.000,2020-01-17T00:00:00.000,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,11102,,,ADDRESS,Astoria,,Closed,2020-01-17T00:00:00.000,01 QUEENS,QUEENS,1007022,220870,Unspecified,QUEENS,40.77288413430409,-73.91778398006,"{'type': 'Point', 'coordinates': [-73.91778398006, 40.77288413430409]}",24-35 28 STREET,28 STREET,24 AVENUE,HOYT AVENUE NORTH,
45397199,2020-01-15T21:32:00.000,2020-01-19T00:00:00.000,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,11234,,,ADDRESS,BROOKLYN,,Closed,2020-01-19T00:00:00.000,18 BROOKLYN,BROOKLYN,1006845,166186,Unspecified,BROOKLYN,40.62278985278803,-73.91860646924715,"{'type': 'Point', 'coordinates': [-73.91860646924715, 40.62278985278803]}",1263 EAST   59 STREET,EAST   59 STREET,AVENUE L,AVENUE M,
45392181,2020-01-15T21:26:00.000,2020-01-17T00:00:00.000,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,10307,,,ADDRESS,STATEN ISLAND,,Closed,2020-01-17T00:00:00.000,03 STATEN ISLAND,STATEN ISLAND,917214,123332,Unspecified,STATEN ISLAND,40.504939572671525,-74.24105713017191,"{'type': 'Point', 'coordinates': [-74.24105713017191, 40.504939572671525]}",7120 HYLAN BOULEVARD,HYLAN BOULEVARD,ROCKAWAY STREET,YETMAN AVENUE,
