year,month,Complaint Type,Borough,count
2013,5,Basket,QUEENS,77
2013,5,Basket,STATEN ISLAND,36
2013,5,Collection,BRONX,62
2013,5,Collection,BROOKLYN,410
2013,5,Collection,MANHATTAN,110
2013,5,Collection,QUEENS,421
2013,5,Collection,STATEN ISLAND,367
2013,5,Sweeping,BRONX,9
2013,5,Sweeping,BROOKLYN,64
2013,5,Sweeping,MANHATTAN,15
2013,5,Sweeping,QUEENS,20
2013,6,Basket,BRONX,33
2013,6,Basket,BROOKLYN,148
2013,6,Basket,MANHATTAN,87
2013,6,Basket,QUEENS,97
2013,6,Basket,STATEN ISLAND,67
2013,6,Collection,BRONX,87
2013,6,Collection,BROOKLYN,441
2013,6,Collection,MANHATTAN,151
2013,6,Collection,QUEENS,556
2013,6,Collection,STATEN ISLAND,364
2013,6,Sweeping,BRONX,12
2013,6,Sweeping,BROOKLYN,59
2013,6,Sweeping,MANHATTAN,10
2013,6,Sweeping,QUEENS,25
2013,7,Basket,BRONX,36
2013,7,Basket,BROOKLYN,133
2013,7,Basket,MANHATTAN,150
2013,7,Basket,QUEENS,81
2013,7,Basket,STATEN ISLAND,98
2013,7,Collection,BRONX,70
2013,7,Collection,BROOKLYN,382
2013,7,Collection,MANHATTAN,111
2013,7,Collection,QUEENS,516
2013,7,Collection,STATEN ISLAND,333
2013,7,Sweeping,BRONX,11
2013,7,Sweeping,BROOKLYN,101
2013,7,Sweeping,MANHATTAN,28
2013,7,Sweeping,QUEENS,29
2013,7,Sweeping,STATEN ISLAND,1
2013,8,Basket,BRONX,35
2013,8,Basket,BROOKLYN,145
2013,8,Basket,MANHATTAN,96
2013,8,Basket,QUEENS,78
2013,8,Basket,STATEN ISLAND,53
2013,8,Collection,BRONX,62
2013,8,Collection,BROOKLYN,431
2013,8,Collection,MANHATTAN,121
2013,8,Collection,QUEENS,441
2013,8,Collection,STATEN ISLAND,241
2013,8,Sweeping,BRONX,8
2013,8,Sweeping,BROOKLYN,57
2013,8,Sweeping,MANHATTAN,10
2013,8,Sweeping,QUEENS,34
2013,9,Basket,BRONX,29
2013,9,Basket,BROOKLYN,132
2013,9,Basket,MANHATTAN,113
2013,9,Basket,QUEENS,83
2013,9,Basket,STATEN ISLAND,33
2013,9,Basket,Unspecified,1
2013,9,Collection,BRONX,69
2013,9,Collection,BROOKLYN,335
2013,9,Collection,MANHATTAN,113
2013,9,Collection,QUEENS,400
2013,9,Collection,STATEN ISLAND,202
2013,9,Sweeping,BRONX,6
2013,9,Sweeping,BROOKLYN,49
2013,9,Sweeping,MANHATTAN,8
2013,9,Sweeping,QUEENS,19
2013,9,Sweeping,Unspecified,1
2013,10,Basket,BRONX,22
2013,10,Basket,BROOKLYN,130
2013,10,Basket,MANHATTAN,120
2013,10,Basket,QUEENS,86
2013,10,Basket,STATEN ISLAND,30
2013,10,Collection,BRONX,70
2013,10,Collection,BROOKLYN,353
2013,10,Collection,MANHATTAN,136
2013,10,Collection,QUEENS,365
2013,10,Collection,STATEN ISLAND,226
2013,10,Sweeping,BRONX,13
2013,10,Sweeping,BROOKLYN,107
2013,10,Sweeping,MANHATTAN,14
2013,10,Sweeping,QUEENS,62
2013,11,Basket,BRONX,21
2013,11,Basket,BROOKLYN,69
2013,11,Basket,MANHATTAN,52
2013,11,Basket,QUEENS,39
2013,11,Basket,STATEN ISLAND,72
2013,11,Basket,Unspecified,1
2013,11,Collection,BRONX,87
2013,11,Collection,BROOKLYN,333
2013,11,Collection,MANHATTAN,125
