year_month,Complaint Type,census_tract_id,complaint_count
2010-01,Missing Collection,36047013500,1
2010-01,Missing Collection,36047013600,1
2010-01,Missing Collection,36047014300,1
2010-01,Missing Collection,36047014800,1
2010-01,Missing Collection,36047015000,1
2010-01,Missing Collection,36047015100,2
2010-01,Missing Collection,36047015500,1
2010-01,Missing Collection,36047015700,3
2010-01,Missing Collection,36047016000,1
2010-01,Missing Collection,36047016100,1
2010-01,Missing Collection,36047016200,1
2010-01,Missing Collection,36047016500,4
2010-01,Missing Collection,36047016800,2
2010-01,Missing Collection,36047017000,1
2010-01,Missing Collection,36047017200,2
2010-01,Missing Collection,36047017400,1
2010-01,Missing Collection,36047018200,1
2010-01,Missing Collection,36047018600,4
2010-01,Missing Collection,36047019000,1
2010-01,Missing Collection,36047019500,1
2010-01,Missing Collection,36047019800,1
2010-01,Missing Collection,36047019900,1
2010-01,Missing Collection,36047020000,1
2010-01,Missing Collection,36047020100,4
2010-01,Missing Collection,36047020400,1
2010-01,Missing Collection,36047020500,1
2010-01,Missing Collection,36047020700,1
2010-01,Missing Collection,36047021200,1
2010-01,Missing Collection,36047021500,1
2010-01,Missing Collection,36047021600,3
2010-01,Missing Collection,36047021700,2
2010-01,Missing Collection,36047021800,3
2010-01,Missing Collection,36047021900,1
2010-01,Missing Collection,36047022200,1
2010-01,Missing Collection,36047022400,3
2010-01,Missing Collection,36047022600,1
2010-01,Missing Collection,36047022700,2
2010-01,Missing Collection,36047022800,4
2010-01,Missing Collection,36047022900,2
2010-01,Missing Collection,36047023300,1
2010-01,Missing Collection,36047023400,3
2010-01,Missing Collection,36047023500,2
2010-01,Missing Collection,36047023800,2
2010-01,Missing Collection,36047024100,2
2010-01,Missing Collection,36047024300,1
2010-01,Missing Collection,36047024400,4
2010-01,Missing Collection,36047024500,3
2010-01,Missing Collection,36047024800,1
2010-01,Missing Collection,36047025000,1
2010-01,Missing Collection,36047025100,1
2010-01,Missing Collection,36047025400,2
2010-01,Missing Collection,36047025600,2
2010-01,Missing Collection,36047026000,2
2010-01,Missing Collection,36047026400,1
2010-01,Missing Collection,36047026500,1
2010-01,Missing Collection,36047026600,1
2010-01,Missing Collection,36047026800,2
2010-01,Missing Collection,36047026900,2
2010-01,Missing Collection,36047027100,2
2010-01,Missing Collection,36047027400,1
2010-01,Missing Collection,36047027800,1
2010-01,Missing Collection,36047027900,1
2010-01,Missing Collection,36047028100,1
2010-01,Missing Collection,36047028200,1
2010-01,Missing Collection,36047028300,2
2010-01,Missing Collection,36047028900,1
2010-01,Missing Collection,36047029500,4
2010-01,Missing Collection,36047029700,3
2010-01,Missing Collection,36047029800,1
2010-01,Missing Collection,36047030000,1
2010-01,Missing Collection,36047030200,4
2010-01,Missing Collection,36047030400,3
2010-01,Missing Collection,36047030500,2
2010-01,Missing Collection,36047030600,1
2010-01,Missing Collection,36047030700,1
2010-01,Missing Collection,36047030800,1
2010-01,Missing Collection,36047031100,2
2010-01,Missing Collection,36047031401,2
2010-01,Missing Collection,36047031900,2
